>>>>>Running tests<<<<<
Running 2 test sets
person09_running_d1_uncomp.avi [det: 0.69][falsep: 0.47][fps: 1943.18]
person10_running_d1_uncomp.avi [det: 0.58][falsep: 0.04][fps: 3661.95]
person11_running_d3_uncomp.avi [det: 0.32][falsep: 0.05][fps: 3764.42]
person12_running_d2_uncomp.avi [det: 0.59][falsep: 0.02][fps: 3399.96]
person13_running_d4_uncomp.avi [det: 0.65][falsep: 0.08][fps: 2665.57]
person14_running_d1_uncomp.avi [det: 0.49][falsep: 0.05][fps: 3828.59]
person15_running_d2_uncomp.avi [det: 0.57][falsep: 0.03][fps: 2559.57]
person16_running_d2_uncomp.avi [det: 0.61][falsep: 0.04][fps: 3342.02]
person17_running_d1_uncomp.avi [det: 0.10][falsep: 0.12][fps: 3732.61]
person18_running_d3_uncomp.avi [det: 0.62][falsep: 0.07][fps: 2661.28]
person19_running_d2_uncomp.avi [det: 0.69][falsep: 0.03][fps: 3162.83]
person20_running_d4_uncomp.avi [det: 0.71][falsep: 0.09][fps: 2587.51]
person21_running_d1_uncomp.avi [det: 0.55][falsep: 0.05][fps: 4003.29]
person22_running_d3_uncomp.avi [det: 0.42][falsep: 0.05][fps: 4089.99]
person23_running_d4_uncomp.avi [det: 0.72][falsep: 0.06][fps: 2612.96]
person24_running_d3_uncomp.avi [det: 0.61][falsep: 0.05][fps: 2953.05]
person25_running_d3_uncomp.avi [det: 0.63][falsep: 0.02][fps: 2726.27]
Loaded classifier cascade/lbp_16.xml (w:48 h:96)
Set contains 25 videos
person01_running_d4_uncomp.avi [det: 0.56][falsep: 0.10][fps: 195.74]
person02_running_d4_uncomp.avi [det: 0.75][falsep: 0.06][fps: 193.70]
person03_running_d4_uncomp.avi [det: 0.58][falsep: 0.02][fps: 191.05]
person04_running_d2_uncomp.avi [det: 0.37][falsep: 0.02][fps: 188.19]
person05_running_d1_uncomp.avi [det: 0.49][falsep: 0.02][fps: 190.58]
person06_running_d3_uncomp.avi [det: 0.64][falsep: 0.03][fps: 193.16]
person07_running_d1_uncomp.avi [det: 0.54][falsep: 0.04][fps: 194.44]
person08_running_d2_uncomp.avi [det: 0.64][falsep: 0.02][fps: 194.58]
person09_running_d1_uncomp.avi [det: 0.52][falsep: 0.04][fps: 189.80]
person10_running_d1_uncomp.avi [det: 0.58][falsep: 0.04][fps: 195.99]
person11_running_d3_uncomp.avi [det: 0.14][falsep: 0.03][fps: 191.38]
person12_running_d2_uncomp.avi [det: 0.43][falsep: 0.01][fps: 194.42]
person13_running_d4_uncomp.avi [det: 0.61][falsep: 0.06][fps: 190.15]
person14_running_d1_uncomp.avi [det: 0.48][falsep: 0.05][fps: 192.35]
person15_running_d2_uncomp.avi [det: 0.41][falsep: 0.03][fps: 192.28]
person16_running_d2_uncomp.avi [det: 0.47][falsep: 0.02][fps: 190.79]
person17_running_d1_uncomp.avi [det: 0.09][falsep: 0.11][fps: 192.10]
person18_running_d3_uncomp.avi [det: 0.60][falsep: 0.05][fps: 187.08]
person19_running_d2_uncomp.avi [det: 0.63][falsep: 0.02][fps: 190.51]
person20_running_d4_uncomp.avi [det: 0.68][falsep: 0.09][fps: 190.80]
person21_running_d1_uncomp.avi [det: 0.51][falsep: 0.04][fps: 190.86]
person22_running_d3_uncomp.avi [det: 0.39][falsep: 0.04][fps: 197.25]
person23_running_d4_uncomp.avi [det: 0.61][falsep: 0.05][fps: 194.68]
person24_running_d3_uncomp.avi [det: 0.60][falsep: 0.04][fps: 191.45]
person25_running_d3_uncomp.avi [det: 0.44][falsep: 0.00][fps: 189.49]
Set contains 25 videos
person01_running_d4_uncomp.avi [det: 0.59][falsep: 0.11][fps: 2697.49]
person02_running_d4_uncomp.avi [det: 0.75][falsep: 0.06][fps: 2402.28]
person03_running_d4_uncomp.avi [det: 0.57][falsep: 0.02][fps: 2457.12]
person04_running_d2_uncomp.avi [det: 0.36][falsep: 0.02][fps: 2715.37]
person05_running_d1_uncomp.avi [det: 0.53][falsep: 0.03][fps: 3236.81]
person06_running_d3_uncomp.avi [det: 0.67][falsep: 0.03][fps: 3020.64]
person07_running_d1_uncomp.avi [det: 0.54][falsep: 0.04][fps: 2611.22]
person08_running_d2_uncomp.avi [det: 0.66][falsep: 0.02][fps: 2950.20]
person09_running_d1_uncomp.avi [det: 0.56][falsep: 0.10][fps: 1898.44]
person10_running_d1_uncomp.avi [det: 0.57][falsep: 0.04][fps: 3699.04]
person11_running_d3_uncomp.avi [det: 0.18][falsep: 0.03][fps: 3940.25]
person12_running_d2_uncomp.avi [det: 0.57][falsep: 0.02][fps: 3508.37]
person13_running_d4_uncomp.avi [det: 0.62][falsep: 0.07][fps: 2733.26]
person14_running_d1_uncomp.avi [det: 0.48][falsep: 0.05][fps: 3791.10]
person15_running_d2_uncomp.avi [det: 0.50][falsep: 0.03][fps: 2547.51]
person16_running_d2_uncomp.avi [det: 0.60][falsep: 0.04][fps: 3451.42]
person17_running_d1_uncomp.avi [det: 0.09][falsep: 0.12][fps: 3890.57]
person18_running_d3_uncomp.avi [det: 0.59][falsep: 0.04][fps: 2551.60]
person19_running_d2_uncomp.avi [det: 0.64][falsep: 0.02][fps: 3242.31]
person20_running_d4_uncomp.avi [det: 0.69][falsep: 0.12][fps: 2705.65]
person21_running_d1_uncomp.avi [det: 0.52][falsep: 0.04][fps: 4000.77]
person22_running_d3_uncomp.avi [det: 0.40][falsep: 0.04][fps: 4169.74]
person23_running_d4_uncomp.avi [det: 0.60][falsep: 0.07][fps: 2715.12]
person24_running_d3_uncomp.avi [det: 0.61][falsep: 0.04][fps: 3185.54]
person25_running_d3_uncomp.avi [det: 0.52][falsep: 0.01][fps: 2929.94]
Loaded classifier cascade/lbp_17.xml (w:48 h:96)
Set contains 25 videos
person01_running_d4_uncomp.avi [det: 0.48][falsep: 0.08][fps: 192.49]
person02_running_d4_uncomp.avi [det: 0.72][falsep: 0.07][fps: 190.59]
person03_running_d4_uncomp.avi [det: 0.56][falsep: 0.00][fps: 193.49]
person04_running_d2_uncomp.avi [det: 0.31][falsep: 0.02][fps: 184.63]
person05_running_d1_uncomp.avi [det: 0.11][falsep: 0.01][fps: 184.47]
person06_running_d3_uncomp.avi [det: 0.60][falsep: 0.02][fps: 188.21]
person07_running_d1_uncomp.avi [det: 0.53][falsep: 0.03][fps: 191.12]
person08_running_d2_uncomp.avi [det: 0.52][falsep: 0.01][fps: 189.34]
person09_running_d1_uncomp.avi [det: 0.48][falsep: 0.03][fps: 185.36]
person10_running_d1_uncomp.avi [det: 0.55][falsep: 0.04][fps: 192.69]
person11_running_d3_uncomp.avi [det: 0.00][falsep: 0.00][fps: 193.98]
person12_running_d2_uncomp.avi [det: 0.22][falsep: 0.00][fps: 190.40]
person13_running_d4_uncomp.avi [det: 0.57][falsep: 0.03][fps: 191.45]
person14_running_d1_uncomp.avi [det: 0.38][falsep: 0.04][fps: 192.03]
person15_running_d2_uncomp.avi [det: 0.31][falsep: 0.02][fps: 188.86]
person16_running_d2_uncomp.avi [det: 0.29][falsep: 0.01][fps: 195.00]
person17_running_d1_uncomp.avi [det: 0.09][falsep: 0.10][fps: 193.03]
person18_running_d3_uncomp.avi [det: 0.55][falsep: 0.03][fps: 188.25]
